"Title","Year","Description","Directors","Collections","Duration","Actors"
"Zombi Child (2019) (FC)","0","Iconoclastic auteur Bertrand Bonello blends voodoo, postcolonial tensions, and the spirit of Jacques Tourneur and Val Lewton to create a shivery, hypnotic excursion into heady horror. Haiti, 1962: a man (Mackenson Bijou) is brought back from the dead only to be sent to the living hell of the sugarcane fields. Fifty-five years later in Paris, at a prestigious all-girls boarding school, Melissa (Wislanda Louimat), a young Haitian teenager, confesses an old family secret to a group of new friends—never imagining that this strange tale will convince a heartbroken classmate to do the unthinkable. Displaying the same audaciousness he did in Saint Laurent and Nocturama, Bonello shifts seamlessly between eras, weaving a spellbinding vision of the ways in which colonialism’s legacy continues to haunt the present.<LF>","","Criterion:Twenty-First-Century Cinema","0:08",""
"Too Late To Die Young (2018)","2018","Dominga Sotomayor's intoxicating teenage daydream floats by in a haze of gorgeously gauzy images. Chile, 1990: in a remote artists' commune in the shadow of the Andes, a small band of families builds a new world far removed from the tumult of the city and the emerging freedoms that have come with the country's transition to democracy. It's in this time of change and reckoning that sixteen-year-old Sofia (Demian Hernández) confronts love, fear, and the dangerous unpredictability of nature. As the New Year approaches, Sofia begins to realize that you can't shut the real world out forever.<LF>","Dominga Sotomayor","Criterion:Twenty-First-Century Cinema","1:50:32","Demian Hernández; Antar Machado; Magdalena Tótoro"
"4 Months, 3 Weeks and 2 Days (2007) (FC)","0","Romanian filmmaker Cristian Mungiu shot to international prominence with this rigorously realistic Palme d’Or–winning second feature. In 1987, during the dictatorship of Nicolae Ceau?escu, college roommates Otilia (Anamaria Marinca) and Gabi?a (Laura Vasiliu) seek an illegal abortion for Gabi?a. In unflinching but empathetic detail, the film recounts the events of twenty-four perilous hours in their lives, culminating in their encounter with a manipulative and menacing abortionist (Vlad Ivanov). With powerful performances that accentuate the characters’ flawed humanity, 4 MONTHS, 3 WEEKS AND 2 DAYS is a gutting account of the impossible choices women face when taking control of their bodies means breaking the law.<LF>","","Criterion:Twenty-First-Century Cinema","0:09",""
"Long Day's Journey into Night (2018) (FC)","0","Bi Gan’s dazzling sophomore feature is a hallucinatory, noir-tinged stunner about a lost soul (Huang Jue) on a quest to find a missing woman from his past (Tang Wei). Following leads across Guizhou province, he crosses paths with a series of colorful characters, among them a prickly hairdresser played by Taiwanese superstar Sylvia Chang. When the search leads him to a dingy movie theater, the film launches him—and us—into an epic, gravity-defying sequence, an immersive, hour-long odyssey through a labyrinthine dreamscape that ranks as one of the true marvels of modern cinema. China’s biggest art-house hit of all time, LONG DAY’S JOURNEY INTO NIGHT confirms Bi as one the most daring and exciting auteurs working today.<LF>","","Criterion:Twenty-First-Century Cinema","0:07",""
"An Elephant Sitting Still (2018)","2018","One of the most acclaimed feature debuts of the last decade, the first and, tragically, last film from Hu Bo, who took his own life at the age of twenty-nine, is a tour de force of existential fury and transcendent catharsis. Set under the gray skies of China’s industrial north, AN ELEPHANT SITTING STILL traces the intertwining lives of a band of dispossessed souls who come together on a pilgrimage toward a city in Manchuria where a circus elephant is rumored to be sitting still, seemingly oblivious to the pain and tribulations of the world at large. Composed in a series of bravura tracking shots, this profoundly felt epic gathers an overwhelming emotional power as it moves toward its soul-shattering climax.<LF>","Hu Bo","Criterion:Twenty-First-Century Cinema","3:54:20","Yu Zhang; Yuchang Peng; Uvin Wang"
"Diamantino (2018)","2018","When bighearted but dim-witted Portuguese soccer hunk Diamantino (Carloto Cotta) blows it in the World Cup finals, he goes from superstar to laughing stock overnight. His sheltered worldview is further shattered after learning about the European refugee crisis, and he resolves to make amends by adopting an African refugee—only to find that his new “son” is actually an undercover lesbian tax auditor investigating him on the suspicion of corruption. From there, Diamantino gets swept up in a gonzo comic odyssey involving cigarette-smoking evil twins, Secret Service skullduggery, mad-science genetic modification, and a right-wing anti-EU conspiracy. Vividly photographed in Super 16 mm and featuring the biggest stampedes of giant Pekingese puppies you’ve ever seen, Gabriel Abrantes and Daniel Schmidt’s genre-blending and gender-bending satire is a high-camp masterpiece.<LF>","Gabriel Abrantes; Daniel Schmidt","Criterion:Twenty-First-Century Cinema","1:36:53","Carloto Cotta; Cleo Tavares; Anabela Moreira"
"La Ciénaga (2001) (FC)","0","The release of Lucrecia Martel’s LA CIÉNAGA heralded the arrival of an astonishingly vital and original voice in Argentine cinema. With a radical and disturbing take on narrative, beautiful cinematography, and a highly sophisticated use of on- and offscreen sound, Martel turns her tale of a dissolute bourgeois extended family, whiling away the hours of one sweaty, sticky summer, into a cinematic marvel. This visceral take on class, nature, sexuality, and the ways that political turmoil and social stagnation can manifest in human relationships is a drama of extraordinary tactility, and one of the great contemporary film debuts.<LF>","","Criterion:Twenty-First-Century Cinema","0:08",""
"Fat Girl (2001) (FC)","0","Twelve-year-old Anaïs is fat. Her sister, fifteen-year-old Elena, is a beauty. While the girls are on vacation with their parents, Anaïs tags along as Elena explores the dreary seaside town. Elena meets Fernando, an Italian law student; he seduces her with promises of love, and the ever watchful Anaïs bears witness to the corruption of her sister’s innocence. FAT GIRL is not only a portrayal of female adolescent sexuality and the complicated bond between siblings but also a shocking assertion by the always controversial Catherine Breillat that violent oppression exists at the core of male-female relations.<LF>","","Criterion:Twenty-First-Century Cinema","0:08",""
"In the Mood for Love (2000) (FC)","0","Hong Kong, 1962: Chow Mo-wan (Tony Leung Chiu-wai) and Su Li-zhen (Maggie Cheung Man-yuk) move into neighboring apartments on the same day. Their encounters are formal and polite—until a discovery about their spouses creates an intimate bond between them. At once delicately mannered and visually extravagant, Wong Kar-wai’s IN THE MOOD FOR LOVE is a masterful evocation of romantic longing and fleeting moments. With its aching musical soundtrack and exquisitely abstract cinematography by Christopher Doyle and Mark Lee Ping-bin, this film has been a major stylistic influence on the past decade of cinema, and is a milestone in Wong’s redoubtable career.<LF>","","Criterion:Twenty-First-Century Cinema","0:08",""
"Mustang (2015) (FC)","0","Deniz Gamze Ergüven’s stunning debut feature is an exhilarating immersion into the world of a spirited Turkish girl and her four teenage sisters, who are placed under virtual lockdown and threatened with the prospect of arranged marriages after they are accused of indecency by their conservative family. Rebelling against their oppressive home life, the girls find strength in one another as they begin to plot their escape. Unfolding with raw, heart-pounding immediacy, MUSTANG is both a stinging indictment of patriarchal misogyny and a joyous celebration of sisterly bonds.<LF>","","Criterion:Twenty-First-Century Cinema","0:12",""
"Sun Don’t Shine (2012) (FC)","0","Written and directed by Amy Seimetz, this tantalizingly enigmatic, sun-kissed noir follows Crystal (Kate Lyn Sheil) and her boyfriend Leo (Kentucker Audley) on a tense and mysterious road trip through the desolate yet hauntingly beautiful landscape of central Florida. From the outset, the purpose of their journey is unclear, but as the couple travels up the Gulf Coast past an endless panorama of mangrove fields, trailer parks, and cookie-cutter housing developments, the disturbing details begin to emerge, revealing Crystal’s sinister past and the pair’s troubling future. Filmed on location in the environs of Seimetz’s hometown of St. Petersburg, SUN DON’T SHINE is a simmering work of pulp poetry driven by its powerful performances and eerily evocative setting.<LF>","","Criterion:Twenty-First-Century Cinema","0:07",""
